ear;distancia_entre_os_labios;nome_video;
0.291350548;13.83333333;55/0.mp4;
0.296493008;14;55/0.mp4; 
0.316484802;14.33333333;55/0.mp4;
0.321406906;15.33333333;55/0.mp4;
0.290984706;15;55/0.mp4;
0.281863228;16.16666667;55/0.mp4;
0.281748701;15.83333333;55/0.mp4;
0.308877226;15.83333333;55/0.mp4;
0.340162997;14.33333333;55/0.mp4;
0.296554768;11;55/0.mp4;
0.295550263;15.16666667;55/0.mp4;
0.299963266;15.16666667;55/0.mp4;
0.337908644;10.83333333;55/0.mp4;
0.292299487;14.5;55/0.mp4;
0.290510154;15.66666667;55/0.mp4;
0.283904752;15.66666667;55/0.mp4;
0.288980224;11.66666667;55/0.mp4;
0.313128636;14.5;55/0.mp4;
0.29737736;12.83333333;55/0.mp4;
0.316603097;12.33333333;55/0.mp4;
0.300554836;15.16666667;55/0.mp4;
0.295159668;16.66666667;55/0.mp4;
0.294337861;16.16666667;55/0.mp4;
0.30505095;15.66666667;55/0.mp4;
0.306791897;17.33333333;55/0.mp4;
0.309916677;15.16666667;55/0.mp4;
0.274836244;13.5;55/0.mp4;
0.309894256;5.833333333;55/0.mp4;
0.259107105;7.666666667;55/0.mp4;
0.328983065;2.666666667;55/0.mp4;
0.287241668;9.5;55/0.mp4;
0.284850534;0.833333333;55/0.mp4;
0.289128279;8.166666667;55/0.mp4;
0.294659799;2.166666667;55/0.mp4;
0.276372401;1.5;55/0.mp4;
0.263439951;3.333333333;55/0.mp4;
0.292842348;9.333333333;55/0.mp4;
0.314759244;11.33333333;55/0.mp4;
0.307285208;12.16666667;55/0.mp4;
0.288925118;0.666666667;55/0.mp4;
0.266890436;5.833333333;55/0.mp4;
0.260192885;4.5;55/0.mp4;
0.282170152;10.16666667;55/0.mp4;
0.290585821;8.166666667;55/0.mp4;
0.266983918;8.333333333;55/0.mp4;
0.249375764;1;55/0.mp4;
0.266586684;2.666666667;55/0.mp4;
0.270023952;1.166666667;55/0.mp4;
0.253564916;2;55/0.mp4;
0.305634854;1.166666667;55/0.mp4;
0.282110266;8.5;55/0.mp4;
0.30128056;6.833333333;55/0.mp4;
0.242455307;3.166666667;55/0.mp4;
0.289870489;1.833333333;55/0.mp4;
0.313511282;4.833333333;55/0.mp4;
0.305701191;2.5;55/0.mp4;
0.318198218;5.5;55/0.mp4;
0.306938116;1.666666667;55/0.mp4;
0.277813806;6.5;55/0.mp4;
0.280532873;7;55/0.mp4;
0.276943315;11.33333333;55/0.mp4;
0.265940068;9.666666667;55/0.mp4;
0.289537844;8.666666667;55/0.mp4;
0.274465492;7.333333333;55/0.mp4;
0.3013896;6.833333333;55/0.mp4;
0.277896341;9.5;55/0.mp4;
0.268666055;8.666666667;55/0.mp4;
0.271846928;8.666666667;55/0.mp4;
0.294009966;10;55/0.mp4;
0.287738606;7.666666667;55/0.mp4;
0.288461538;8.833333333;55/0.mp4;
0.278871431;7.333333333;55/0.mp4;
0.280447922;7.833333333;55/0.mp4;
0.277692122;9.166666667;55/0.mp4;
0.296393958;10.66666667;55/0.mp4;
0.304059186;10.83333333;55/0.mp4;
0.295307998;10.66666667;55/0.mp4;
0.299953147;11.16666667;55/0.mp4;
0.293822493;13.33333333;55/0.mp4;
0.269671804;10.83333333;55/0.mp4;
0.299953147;12.66666667;55/0.mp4;
0.289868603;10.5;55/0.mp4;
0.268709004;13;55/0.mp4;
0.287457051;12.83333333;55/0.mp4;
0.291269985;14.16666667;55/0.mp4;
0.274562215;15;55/0.mp4;
0.289615689;14.66666667;55/0.mp4;
0.302499149;14.16666667;55/0.mp4;
0.265353755;15.66666667;55/0.mp4;
0.290932451;14.16666667;55/0.mp4;
0.310312149;13.83333333;55/0.mp4;
0.286266097;14.16666667;55/0.mp4;
0.288705978;15.16666667;55/0.mp4;
0.278307751;14.16666667;55/0.mp4;
0.278231171;15.16666667;55/0.mp4;
0.285326383;15.5;55/0.mp4;
0.306735349;15.5;55/0.mp4;
0.29610105;14.16666667;55/0.mp4;
0.267553965;14.33333333;55/0.mp4;
0.262393678;16.66666667;55/0.mp4;
0.265315462;16.33333333;55/0.mp4;
0.29538277;15.5;55/0.mp4;
0.298023042;14.83333333;55/0.mp4;
0.278773468;15.66666667;55/0.mp4;
0.281445568;16.5;55/0.mp4;
0.271496839;16.16666667;55/0.mp4;
0.271868103;15.5;55/0.mp4;
0.301183059;14.66666667;55/0.mp4;
0.298799537;14;55/0.mp4;
0.297229304;15.5;55/0.mp4;
0.299910177;14.83333333;55/0.mp4;
0.302855137;15.33333333;55/0.mp4;
0.285258502;15.5;55/0.mp4;
0.285860447;14;55/0.mp4;
0.27222223;15.33333333;55/0.mp4;
0.311519832;14.33333333;55/0.mp4;
0.278231171;15.66666667;55/0.mp4;
0.25937904;15.83333333;55/0.mp4;
0.2653396;15;55/0.mp4;
0.3211728;16.33333333;55/0.mp4;
0.301648721;17.33333333;55/0.mp4;
0.311376322;15.83333333;55/0.mp4;
0.293136677;15.66666667;55/0.mp4;
0.292705151;15.5;55/0.mp4;
0.296504652;15.83333333;55/0.mp4;
0.286628847;15.83333333;55/0.mp4;
0.323159497;15.33333333;55/0.mp4;
0.308289956;10.5;55/0.mp4;
0.306414227;11.66666667;55/0.mp4;
0.281925101;15.5;55/0.mp4;
0.32968326;16.16666667;55/0.mp4;
0.287670083;15.5;55/0.mp4;
0.294043566;15.16666667;55/0.mp4;
0.275334646;15.66666667;55/0.mp4;
0.291192336;16.33333333;55/0.mp4;
0.288046145;11.16666667;55/0.mp4;
0.292413425;10.33333333;55/0.mp4;
0.308031736;14.66666667;55/0.mp4;
0.310611573;14.16666667;55/0.mp4;
0.310171565;10.66666667;55/0.mp4;
0.303992408;16;55/0.mp4;
0.300666019;15;55/0.mp4;
0.294090581;16;55/0.mp4;
0.287610649;14.5;55/0.mp4;
0.300603798;15.66666667;55/0.mp4;
0.312868201;16.16666667;55/0.mp4;
0.294373734;15.5;55/0.mp4;
0.297683434;15.33333333;55/0.mp4;
0.301233608;15.5;55/0.mp4;
0.300592425;15.5;55/0.mp4;
0.316424691;13.83333333;55/0.mp4;
0.297880958;14.83333333;55/0.mp4;
0.291143233;15.33333333;55/0.mp4;
0.298799537;9.666666667;55/0.mp4;
0.33091302;10.33333333;55/0.mp4;
0.312312851;11.83333333;55/0.mp4;
0.309241016;9.666666667;55/0.mp4;
0.314564832;11.5;55/0.mp4;
0.327150213;13.33333333;55/0.mp4;
0.307596675;10.33333333;55/0.mp4;
0.3206898;15.16666667;55/0.mp4;
0.333973494;12;55/0.mp4;
0.290979304;14;55/0.mp4;
0.303153461;14;55/0.mp4;
0.316890598;15;55/0.mp4;
